timestamp,mem_total,mem_free,mem_available,cpu_temp,cpu_usage,disk_usage,gpu_mem
2025-07-29 17:52:29,mem_total:1840096KB,mem_free:747184KB,mem_available:1289904KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:52:59,mem_total:1840096KB,mem_free:749168KB,mem_available:1292240KB,cpu_temp:55°C,cpu_usage:42.9%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:53:30,mem_total:1840096KB,mem_free:727436KB,mem_available:1282560KB,cpu_temp:56°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:54:00,mem_total:1840096KB,mem_free:753544KB,mem_available:1296136KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:54:31,mem_total:1840096KB,mem_free:754524KB,mem_available:1297012KB,cpu_temp:56°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:55:01,mem_total:1840096KB,mem_free:748340KB,mem_available:1291712KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:55:31,mem_total:1840096KB,mem_free:748644KB,mem_available:1291940KB,cpu_temp:55°C,cpu_usage:40.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:56:02,mem_total:1840096KB,mem_free:740112KB,mem_available:1292548KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:56:32,mem_total:1840096KB,mem_free:751228KB,mem_available:1294212KB,cpu_temp:56°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:57:02,mem_total:1840096KB,mem_free:713340KB,mem_available:1288356KB,cpu_temp:59°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:57:33,mem_total:1840096KB,mem_free:752680KB,mem_available:1304464KB,cpu_temp:57°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:58:03,mem_total:1840096KB,mem_free:742752KB,mem_available:1294968KB,cpu_temp:57°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
